Gene	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
ENSMUST00000145585.1|ENSMUSG00000086430.1|chr2|+	80.7	5040402	chr2:5040201-5041133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000182829.7|ENSMUSG00000030583.16|chr7|-	43.2	29328927	chr7:29323426-29329128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000129755.2|ENSMUSG00000068747.14|chr3|+	90922.6	108357430	chr3:108357229-108361438	859.59	0.00	1.00	752.25	0.00	1.00	698.48	0.00	1.00	798.79	0.00	1.00	803.09	0.00	1.00	834.54	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000114049.1|ENSMUSG00000079523.8|chr6|-	84889.5	72957451	chr6:72957353-72957652	368.44	0.00	1.00	494.13	0.00	1.00	390.25	0.00	1.00	400.05	0.00	1.00	500.61	0.00	1.00	389.62	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000124567.1|ENSMUSG00000026031.15|chr1|+	296.1	58713772	chr1:58713571-58713889	0.44	31.74	0.01	NA	NA	NA	NA	NA	NA	0.00	32.64	0.00	NA	NA	NA	NA	NA	NA	0.01	0.0	0.01	1.0	1.0	N
ENSMUST00000051522.15|ENSMUSG00000063902.13|chr7|+	47644.5	83756420	chr7:83755904-83757281	21.74	411.05	0.05	22.44	424.48	0.05	21.38	391.74	0.05	29.17	452.64	0.06	23.27	371.08	0.06	13.09	383.61	0.03	0.05	0.05	1.38777878078e-17	1.0	1.0	N
ENSMUST00000223584.1|ENSMUSG00000033382.15|chr18|-	338.7	20846378	chr18:20844669-20846579	5.41	39.27	0.12	4.11	46.72	0.08	4.55	38.89	0.10	4.24	41.34	0.09	4.33	40.39	0.10	5.26	29.31	0.15	0.1	0.113333333333	-0.0133333333333	1.0	1.0	N
ENSMUST00000034441.7|ENSMUSG00000031960.14|chr8|+	5463.8	111055220	chr8:111055019-111057664	297.49	0.00	1.00	280.12	0.00	1.00	262.47	0.00	1.00	235.37	0.00	1.00	251.01	0.00	1.00	290.23	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000221640.1|ENSMUSG00000021532.11|chr13|+	182.9	68592178	chr13:68591917-68592279	33.26	4.96	0.87	39.92	6.70	0.86	60.84	7.89	0.89	43.76	10.41	0.81	34.78	23.85	0.59	53.27	0.00	1.00	0.873333333333	0.8	0.0733333333333	0.29598113192614284	1.0	N
ENSMUST00000229477.1|ENSMUSG00000022515.6|chr16|-	120.7	4941596	chr16:4941452-4941797	NA	NA	NA	4.54	45.82	0.09	5.64	40.38	0.12	4.82	25.36	0.16	NA	NA	NA	12.25	24.57	0.33	0.105	0.245	-0.14	0.12175789878918138	1.0	N
ENSMUST00000102995.8|ENSMUSG00000029772.17|chr6|+	1289.7	29909241	chr6:29909040-29912023	100.72	0.00	1.00	132.84	0.00	1.00	101.53	0.00	1.00	107.06	0.00	1.00	114.44	0.00	1.00	114.29	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000211022.1|ENSMUSG00000063550.8|chr7|-	1375.3	102145520	chr7:102145328-102145721	22.03	100.17	0.18	17.51	79.39	0.18	17.06	102.40	0.14	10.14	76.78	0.12	15.21	70.17	0.18	14.59	102.50	0.12	0.166666666667	0.14	0.0266666666667	0.6970765445392445	1.0	N
ENSMUST00000003635.6|ENSMUSG00000003541.6|chr17|+	15488.3	35822239	chr17:35822038-35822923	180.45	0.00	1.00	388.84	0.00	1.00	135.97	0.00	1.00	150.44	0.00	1.00	396.80	0.00	1.00	342.46	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000195463.1|ENSMUSG00000103435.1|chr1|+	1191.3	176758703	chr1:176758502-176758876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000127651.1|ENSMUSG00000022890.13|chr16|-	19371.7	84831306	chr16:84831071-84831507	6.39	298.30	0.02	13.45	575.98	0.02	11.78	552.90	0.02	8.50	476.94	0.02	11.79	439.23	0.03	11.16	385.91	0.03	0.02	0.0266666666667	-0.00666666666667	1.0	1.0	N
ENSMUST00000211811.1|ENSMUSG00000031808.7|chr8|+	452.4	71586657	chr8:71585902-71587302	54.88	83.20	0.40	56.39	56.60	0.50	56.00	88.96	0.39	49.87	61.78	0.45	54.95	78.11	0.41	51.24	66.18	0.44	0.43	0.433333333333	-0.00333333333333	0.8984555112861236	1.0	N
ENSMUST00000147258.1|ENSMUSG00000026034.17|chr1|-	8452.2	58421733	chr1:58421626-58421934	39.82	209.41	0.16	60.67	152.95	0.28	35.86	154.27	0.19	67.85	148.10	0.31	30.34	179.96	0.14	51.49	162.82	0.24	0.21	0.23	-0.02	0.5617609379651362	1.0	N
ENSMUST00000224266.1|ENSMUSG00000016018.4|chr13|-	202.7	112872860	chr13:112872588-112873061	0.54	36.81	0.01	1.12	37.88	0.03	0.46	35.27	0.01	1.88	35.81	0.05	0.55	30.51	0.02	NA	NA	NA	0.0166666666667	0.035	-0.0183333333333	0.48571428571428604	1.0	N
ENSMUST00000124970.7|ENSMUSG00000057594.12|chr11|-	562.7	120465620	chr11:120465324-120465821	53.80	0.00	1.00	62.28	0.00	1.00	69.15	0.00	1.00	68.37	0.00	1.00	57.57	0.00	1.00	62.32	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000235766.1|ENSMUSG00000024588.9|chr18|-	216.1	64457270	chr18:64452914-64458217	4.94	152.63	0.03	5.27	114.20	0.04	6.28	120.25	0.05	6.07	120.07	0.05	5.55	124.47	0.04	5.61	114.54	0.05	0.04	0.0466666666667	-0.00666666666667	1.0	1.0	N
ENSMUST00000057174.15|ENSMUSG00000005936.19|chr17|+	473.0	28967087	chr17:28966652-28967623	36.22	20.89	0.63	25.80	26.54	0.49	33.54	45.78	0.42	40.87	11.76	0.78	26.26	40.90	0.39	30.54	90.72	0.25	0.513333333333	0.473333333333	0.04	0.30702209850363066	1.0	N
ENSMUST00000107494.7|ENSMUSG00000068922.14|chr3|-	460.3	88905319	chr3:88905107-88905520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000121906.1|ENSMUSG00000081824.5|chr16|+	8350.2	42955832	chr16:42955631-42955949	4.31	82.77	0.05	8.36	89.31	0.09	1.59	86.03	0.02	2.28	82.01	0.03	3.87	83.52	0.04	4.72	87.73	0.05	0.0533333333333	0.04	0.0133333333333	1.0	1.0	N
